82680	
  -1.6095888e-02	   8.5882835e-01	
  -1.6483407e-01	   8.5824340e-01	
  -1.5505634e-01	   8.5578818e-01	
  -1.5004051e-01	   8.5656324e-01	
  -1.8337535e-02	   8.5760990e-01	
  -1.5082220e-02	   8.5615068e-01	
  -1.6112499e-02	   8.5797267e-01	
  -1.7563973e-01	   8.5739511e-01	
  -1.7603664e-01	   8.5536710e-01	
  -1.7062899e-01	   8.5478672e-01	
  -1.6380536e-01	   8.5394918e-01	
  -1.5748821e-01	   8.5347156e-01	
  -1.5390832e-01	   8.5643988e-01	
  -1.4709403e-01	   8.5441599e-01	
  -1.3893050e-01	   8.5308671e-01	
  -1.4971618e-02	   8.5490693e-01	
  -1.0251346e-02	   8.5551573e-01	
  -1.7408074e-01	   8.5483495e-01	
  -1.6630371e-01	   8.5116228e-01	
  -1.5210284e-01	   8.5141448e-01	
  -1.5099886e-01	   8.5237539e-01	
  -1.4177307e-01	   8.5434360e-01	
  -1.4009077e-01	   8.5180929e-01	
  -1.3388970e-01	   8.5249639e-01	
  -2.6832414e-02	   8.5123070e-01	
  -2.4280668e-02	   8.5222332e-01	
  -1.7757815e-02	   8.5396286e-01	
  -1.4694740e-02	   8.5355384e-01	
  -1.2283643e-02	   8.5320796e-01	
   2.5354614e-03	   8.5542016e-01	
  -1.7231215e-01	   8.5229574e-01	
  -1.7162229e-01	   8.5122923e-01	
  -1.6658643e-01	   8.5226501e-01	
  -1.4489668e-01	   8.5107459e-01	
  -1.2596210e-01	   8.5083519e-01	
  -6.2280901e-02	   8.5244942e-01	
  -5.9857085e-02	   8.5257538e-01	
  -5.6754068e-02	   8.5102360e-01	
  -2.8271669e-02	   8.5090090e-01	
  -2.6567712e-02	   8.4967384e-01	
  -2.3525439e-02	   8.5134360e-01	
  -1.2062535e-02	   8.5233702e-01	
  -2.9419943e-03	   8.4919342e-01	
   1.6827239e-03	   8.5226213e-01	
   4.5583878e-03	   8.5255189e-01	
   8.0269393e-03	   8.5090555e-01	
   7.9502390e-03	   8.4966623e-01	
   1.5341347e-02	   8.5183621e-01	
  -1.9057144e-01	   8.5020940e-01	
  -1.8885720e-01	   8.5002590e-01	
  -1.8148849e-01	   8.5009002e-01	
  -1.7803842e-01	   8.4899596e-01	
  -1.7099513e-01	   8.4906186e-01	
  -1.5155862e-01	   8.4978658e-01	
  -1.5186267e-01	   8.4874174e-01	
  -1.4619577e-01	   8.4992299e-01	
  -1.4017284e-01	   8.4688460e-01	
  -1.3800512e-01	   8.4806979e-01	
  -1.3692431e-01	   8.4978898e-01	
  -1.2768622e-01	   8.4863366e-01	
  -6.8572976e-02	   8.4954623e-01	
  -5.8282567e-02	   8.4808265e-01	
  -5.4922680e-02	   8.4955814e-01	
  -4.9125092e-02	   8.5002864e-01	
  -3.3613148e-02	   8.4974606e-01	
  -2.2093187e-02	   8.5007292e-01	
  -1.9860768e-02	   8.4894755e-01	
  -2.1125614e-02	   8.4950317e-01	
  -1.2082807e-02	   8.4975762e-01	
   1.7164736e-03	   8.4989397e-01	
   1.7186251e-02	   8.4952964e-01	
   2.8785599e-02	   8.4995052e-01	
   3.2087500e-02	   8.4969948e-01	
  -1.9068313e-01	   8.4651980e-01	
  -1.8547618e-01	   8.4864836e-01	
  -1.8553793e-01	   8.4857751e-01	
  -1.8010928e-01	   8.4846646e-01	
  -1.7278269e-01	   8.4853181e-01	
  -1.6700825e-01	   8.4749365e-01	
  -1.6622558e-01	   8.4781243e-01	
  -1.5821874e-01	   8.4707773e-01	
  -1.5251820e-01	   8.4899228e-01	
  -1.4573018e-01	   8.4995818e-01	
  -1.4274099e-01	   8.4910051e-01	
  -1.3419569e-01	   8.4866942e-01	
  -1.2726774e-01	   8.4783663e-01	
  -1.2551571e-01	   8.4830849e-01	
  -1.2426476e-01	   8.4663588e-01	
  -6.8841300e-02	   8.4715614e-01	
  -6.7020057e-02	   8.4818090e-01	
  -5.6289522e-02	   8.4907459e-01	
  -4.6432000e-02	   8.4844292e-01	
  -3.8867709e-02	   8.4545202e-01	
  -2.7605148e-02	   8.4769971e-01	
  -2.6239945e-02	   8.4731805e-01	
  -2.1066488e-02	   8.4818904e-01	
  -1.5272068e-02	   8.4884516e-01	
  -1.2478514e-02	   8.4779531e-01	
  -6.9309571e-03	   8.4837737e-01	
  -6.0054856e-03	   8.4860704e-01	
  -5.2268166e-03	   8.4920590e-01	
  -1.0148725e-03	   8.4763376e-01	
   2.2728176e-02	   8.4728674e-01	
   2.3672865e-02	   8.4842733e-01	
   3.0436368e-02	   8.4680009e-01	
   2.8974015e-02	   8.4965700e-01	
  -1.8889704e-01	   8.4581158e-01	
  -1.8088581e-01	   8.4667749e-01	
  -1.7457121e-01	   8.4571408e-01	
  -1.6129173e-01	   8.4690977e-01	
  -1.5848122e-01	   8.4511436e-01	
  -1.5520306e-01	   8.4683535e-01	
  -1.5497272e-01	   8.4686206e-01	
  -1.4860190e-01	   8.4506975e-01	
  -1.3804313e-01	   8.4520348e-01	
  -1.2931177e-01	   8.4703176e-01	
  -1.2437490e-01	   8.4568291e-01	
  -1.2109052e-01	   8.4542897e-01	
  -1.1879032e-01	   8.4539393e-01	
  -7.4274223e-02	   8.4553305e-01	
  -7.2673588e-02	   8.4556663e-01	
  -6.7826996e-02	   8.4744990e-01	
  -6.6108807e-02	   8.4594877e-01	
  -4.5787057e-02	   8.4687280e-01	
  -1.8479994e-02	   8.4611290e-01	
  -9.4712624e-03	   8.4658891e-01	
  -4.9078847e-03	   8.4694430e-01	
  -1.6747699e-03	   8.4446463e-01	
   1.9621589e-03	   8.4585974e-01	
   7.5348035e-03	   8.4469184e-01	
   9.9751918e-03	   8.4744543e-01	
   1.8909020e-02	   8.4579334e-01	
   2.4780978e-02	   8.4562470e-01	
   3.1025718e-02	   8.4650935e-01	
  -1.9112335e-01	   8.4287411e-01	
  -1.8551554e-01	   8.4485114e-01	
  -1.8030087e-01	   8.4357923e-01	
  -1.7563319e-01	   8.4421045e-01	
  -1.7339010e-01	   8.4190926e-01	
  -1.6176102e-01	   8.4298383e-01	
  -1.5721263e-01	   8.4506486e-01	
  -1.5708262e-01	   8.4349684e-01	
  -1.4970006e-01	   8.4393441e-01	
  -1.4800309e-01	   8.4472402e-01	
  -1.4079128e-01	   8.4430456e-01	
  -1.3729199e-01	   8.4553965e-01	
  -1.3520770e-01	   8.4412815e-01	
  -1.2180501e-01	   8.4465939e-01	
  -1.2055390e-01	   8.4241265e-01	
  -1.1941350e-01	   8.4278586e-01	
  -1.1635795e-01	   8.4528211e-01	
  -1.0899918e-01	   8.4496760e-01	
  -1.0496017e-01	   8.4588413e-01	
  -1.0003607e-01	   8.4319905e-01	
  -8.6635539e-02	   8.4517568e-01	
  -7.8667717e-02	   8.4418501e-01	
  -7.7334132e-02	   8.4339148e-01	
  -7.1714640e-02	   8.4570013e-01	
  -7.0597102e-02	   8.4269811e-01	
  -6.7467033e-02	   8.4472386e-01	
  -6.2490895e-02	   8.4362823e-01	
  -5.8648199e-02	   8.4540646e-01	
  -5.4053396e-02	   8.4592919e-01	
  -4.5849244e-02	   8.4308634e-01	
  -3.9188843e-02	   8.4422625e-01	
  -4.0085103e-02	   8.4277104e-01	
  -3.8102926e-02	   8.4379257e-01	
  -2.3659166e-02	   8.4379795e-01	
  -2.0288008e-02	   8.4414668e-01	
  -1.6627395e-02	   8.4307606e-01	
  -1.0728774e-02	   8.4554544e-01	
  -7.9371368e-03	   8.4363092e-01	
  -5.8088821e-03	   8.4279881e-01	
  -6.7889810e-03	   8.4333628e-01	
  -3.1355905e-03	   8.4606873e-01	
  -2.4078540e-03	   8.4627166e-01	
   5.3184667e-03	   8.4364662e-01	
   1.1670956e-02	   8.4374657e-01	
   1.7912742e-02	   8.4244797e-01	
   2.3424904e-02	   8.4403106e-01	
   2.6271206e-02	   8.4251930e-01	
   2.6791833e-02	   8.4544313e-01	
   3.2260067e-02	   8.4307547e-01	
   3.2763489e-02	   8.4301962e-01	
  -2.0333691e-01	   8.4176013e-01	
  -1.9988320e-01	   8.4266557e-01	
  -1.9822668e-01	   8.4291301e-01	
  -1.9349270e-01	   8.4244574e-01	
  -1.7133644e-01	   8.4158039e-01	
  -1.6897447e-01	   8.4227925e-01	
  -1.6741771e-01	   8.4543659e-01	
  -1.6453921e-01	   8.4272553e-01	
  -1.6301705e-01	   8.4422317e-01	
  -1.5761140e-01	   8.4450190e-01	
  -1.5418883e-01	   8.4278991e-01	
  -1.5194494e-01	   8.4248031e-01	
  -1.4929399e-01	   8.4193155e-01	
  -1.4766306e-01	   8.4069164e-01	
  -1.3697198e-01	   8.4093127e-01	
  -1.2360281e-01	   8.4299649e-01	
  -1.1209606e-01	   8.4267019e-01	
  -1.0875048e-01	   8.4371939e-01	
  -1.0580252e-01	   8.4326865e-01	
  -1.0290271e-01	   8.4301882e-01	
  -9.9920975e-02	   8.4226258e-01	
  -9.8066022e-02	   8.4298325e-01	
  -8.9941747e-02	   8.4342913e-01	
  -8.8345551e-02	   8.4217868e-01	
  -8.4046163e-02	   8.4353584e-01	
  -7.7497873e-02	   8.4231251e-01	
  -7.5902757e-02	   8.4155455e-01	
  -7.3953872e-02	   8.4230481e-01	
  -6.6190934e-02	   8.4235525e-01	
  -6.1933672e-02	   8.4331645e-01	
  -4.1790170e-02	   8.4152881e-01	
  -3.9915665e-02	   8.4130139e-01	
  -3.2258876e-02	   8.4413167e-01	
  -2.8869867e-02	   8.4150865e-01	
  -2.7907387e-02	   8.4206967e-01	
  -2.3592777e-02	   8.4138932e-01	
  -1.5240695e-02	   8.4244891e-01	
  -1.1494690e-02	   8.4298073e-01	
   3.8859907e-03	   8.4273430e-01	
   7.4395333e-03	   8.4264022e-01	
   1.0008985e-02	   8.4327882e-01	
   1.1777737e-02	   8.4240453e-01	
   1.2896303e-02	   8.4238577e-01	
   1.6810550e-02	   8.4247372e-01	
   2.0928215e-02	   8.4271343e-01	
   2.1002158e-02	   8.4187453e-01	
   2.4246209e-02	   8.4239596e-01	
   2.7005375e-02	   8.4129126e-01	
   3.2895054e-02	   8.4356370e-01	
   3.4813340e-02	   8.4323879e-01	
   3.8325309e-02	   8.4142847e-01	
  -2.1043214e-01	   8.4151302e-01	
  -2.0686746e-01	   8.4113019e-01	
  -1.8184144e-01	   8.4046163e-01	
  -1.8205409e-01	   8.4173773e-01	
  -1.7369409e-01	   8.4023312e-01	
  -1.7133414e-01	   8.3981734e-01	
  -1.6824332e-01	   8.3993698e-01	
  -1.6563294e-01	   8.4117226e-01	
  -1.6394198e-01	   8.4152863e-01	
  -1.5812290e-01	   8.4000004e-01	
  -1.5917016e-01	   8.4023945e-01	
  -1.4312723e-01	   8.4022035e-01	
  -1.2492547e-01	   8.4105542e-01	
  -1.2124363e-01	   8.4040174e-01	
  -1.1441264e-01	   8.4244555e-01	
  -1.0925433e-01	   8.4058853e-01	
  -1.0666734e-01	   8.4255882e-01	
  -9.1080748e-02	   8.3940574e-01	
  -8.8060093e-02	   8.4091021e-01	
  -7.6547273e-02	   8.3973961e-01	
  -7.4920890e-02	   8.4054668e-01	
  -7.1219292e-02	   8.4133346e-01	
  -6.6827309e-02	   8.3890275e-01	
  -6.6020277e-02	   8.4085287e-01	
  -6.5081061e-02	   8.3790217e-01	
  -6.0631438e-02	   8.3937306e-01	
  -5.3642334e-02	   8.4019044e-01	
  -4.8598940e-02	   8.4119748e-01	
  -2.9864490e-02	   8.4035017e-01	
  -2.9363597e-02	   8.3943682e-01	
  -2.2221133e-02	   8.4080226e-01	
  -1.6942805e-02	   8.4035324e-01	
  -1.6555891e-02	   8.3973078e-01	
  -8.2902267e-03	   8.4091804e-01	
  -7.8283465e-03	   8.3956407e-01	
   1.6973443e-02	   8.4100092e-01	
   2.5090165e-02	   8.4254995e-01	
   2.6648932e-02	   8.4058147e-01	
   3.2113257e-02	   8.4160157e-01	
   3.4879753e-02	   8.4062411e-01	
   4.2996793e-02	   8.3960175e-01	
   4.5707993e-02	   8.4021990e-01	
   4.5065139e-02	   8.4097276e-01	
  -2.1694143e-01	   8.3916056e-01	
  -2.1480732e-01	   8.3884885e-01	
  -2.1154635e-01	   8.4154863e-01	
  -2.1140938e-01	   8.3747507e-01	
  -2.0768681e-01	   8.3987002e-01	
  -2.0277141e-01	   8.3917981e-01	
  -1.9026550e-01	   8.3731293e-01	
  -1.8869706e-01	   8.3862253e-01	
  -1.8344286e-01	   8.3731041e-01	
  -1.8265993e-01	   8.4007408e-01	
  -1.6166601e-01	   8.4005995e-01	
  -1.5086760e-01	   8.3861552e-01	
  -1.4405058e-01	   8.3833260e-01	
  -1.2003010e-01	   8.3828074e-01	
  -1.1897841e-01	   8.4024347e-01	
  -1.1485294e-01	   8.4025562e-01	
  -1.0888464e-01	   8.3913436e-01	
  -1.0430267e-01	   8.3892999e-01	
  -1.0130541e-01	   8.3960915e-01	
  -9.2683195e-02	   8.3802456e-01	
  -9.2272889e-02	   8.3951166e-01	
  -8.8050033e-02	   8.4011159e-01	
  -8.5337390e-02	   8.3876911e-01	
  -8.1749835e-02	   8.3561306e-01	
  -7.4721186e-02	   8.4059063e-01	
  -6.8020123e-02	   8.3905931e-01	
  -6.5472680e-02	   8.3704365e-01	
  -5.6876168e-02	   8.3880261e-01	
  -5.3033895e-02	   8.3890885e-01	
  -4.4344952e-02	   8.3858871e-01	
  -2.7905306e-02	   8.3879545e-01	
  -1.0033403e-02	   8.3882933e-01	
  -8.9417943e-03	   8.3554491e-01	
   7.0024893e-03	   8.4058319e-01	
   1.0671873e-02	   8.3997069e-01	
   9.9567778e-03	   8.4105104e-01	
   1.2967594e-02	   8.3980915e-01	
